"geoid","ntacode","ntaname","lat","lon"
"360610307003","MN01","Marble Hill-Inwood",40.872037231377,-73.9179550284124
"360050267024","BX28","Van Cortlandt Village",40.8714546137219,-73.9017924110669
"360610303003","MN01","Marble Hill-Inwood",40.8704517952602,-73.9179979440573
"360050350001","BX31","Allerton-Pelham Gardens",40.8691175413494,-73.8477025893906
"360050403032","BX28","Van Cortlandt Village",40.8699470126595,-73.8934113764833
"360050415001","BX05","Bedford Park-Fordham North",40.8699660934706,-73.8834681354981
"360470870003","BK91","East Flatbush-Farragut",40.6553467776671,-73.9344439368743
"360470702011","BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin",40.6137436293688,-73.9090311454973
"360470894003","BK81","Brownsville",40.6608089711222,-73.9152818597078
"360050348003","BX31","Allerton-Pelham Gardens",40.8687974820915,-73.8531563217194
"360050403023","BX05","Bedford Park-Fordham North",40.869493748645,-73.8907930378793
"360050360001","BX31","Allerton-Pelham Gardens",40.8683845431775,-73.8446915551298
"360610295003","MN01","Marble Hill-Inwood",40.8673995094594,-73.9245154715424
"360050405026","BX05","Bedford Park-Fordham North",40.8673684858627,-73.8883264451064
"360050336006","BX07","Bronxdale",40.8672582342869,-73.8682501918384
"360610287001","MN35","Washington Heights North",40.8634982843114,-73.9324831934594
"360050348004","BX31","Allerton-Pelham Gardens",40.8665072911177,-73.852890915673
"360050399014","BX05","Bedford Park-Fordham North",40.8646664515915,-73.894212913713
"360050263003","BX30","Kingsbridge Heights",40.8643963721531,-73.905303496306
"360050330001","BX07","Bronxdale",40.8643240684907,-73.8659321425255
"360050328001","BX07","Bronxdale",40.8643270550575,-73.8630383842978
